employee_ID,startDate,endDate
b83443e7-b8d8-46b7-95ec-44013a25de11,2025-01-24,2025-02-28
b83443e7-b8d8-46b7-95ec-44013a25de11,2025-06-24,2025-07-30
b83443e7-b8d8-46b7-95ec-44013a25de11,2025-07-15,2025-08-22
b83443e7-b8d8-46b7-95ec-44013a25de11,2025-08-19,2025-09-22
b83443e7-b8d8-46b7-95ec-44013a25de11,2025-02-23,2025-03-31
d2fbe407-eaa5-40a6-9539-c7747faa0609,2025-04-26,2025-05-31
d2fbe407-eaa5-40a6-9539-c7747faa0609,2025-08-07,2025-09-29
d2fbe407-eaa5-40a6-9539-c7747faa0609,2025-04-12,2025-05-27
d2fbe407-eaa5-40a6-9539-c7747faa0609,2024-10-13,2024-11-20
d2fbe407-eaa5-40a6-9539-c7747faa0609,2025-03-21,2025-04-30
ffca7313-eaa1-47ab-85a7-235a0845e3a0,2025-02-12,2025-03-25
ffca7313-eaa1-47ab-85a7-235a0845e3a0,2024-10-25,2024-11-30
ffca7313-eaa1-47ab-85a7-235a0845e3a0,2024-12-22,2024-12-31
ffca7313-eaa1-47ab-85a7-235a0845e3a0,2025-06-05,2025-07-05
ffca7313-eaa1-47ab-85a7-235a0845e3a0,2025-04-02,2025-05-18
d2bbe982-87c4-48c4-817c-6f852d56ce0c,2024-10-09,2024-11-26
d2bbe982-87c4-48c4-817c-6f852d56ce0c,2025-04-30,2025-05-31
d2bbe982-87c4-48c4-817c-6f852d56ce0c,2025-08-27,2025-09-30
d2bbe982-87c4-48c4-817c-6f852d56ce0c,2024-12-31,2025-01-31
d2bbe982-87c4-48c4-817c-6f852d56ce0c,2025-05-22,2025-06-24
a71e3f5e-3e71-4a94-9c5c-33bbcfc3b61f,2025-03-24,2025-04-30
a71e3f5e-3e71-4a94-9c5c-33bbcfc3b61f,2025-02-25,2025-03-31
a71e3f5e-3e71-4a94-9c5c-33bbcfc3b61f,2024-11-09,2024-12-18
a71e3f5e-3e71-4a94-9c5c-33bbcfc3b61f,2025-02-01,2025-03-07
a71e3f5e-3e71-4a94-9c5c-33bbcfc3b61f,2025-07-05,2025-08-16
4d914948-92fb-49ef-b257-867bbadce66a,2025-07-14,2025-08-31
4d914948-92fb-49ef-b257-867bbadce66a,2024-10-21,2024-11-30
4d914948-92fb-49ef-b257-867bbadce66a,2025-02-07,2025-03-29
4d914948-92fb-49ef-b257-867bbadce66a,2025-03-17,2025-04-25
4d914948-92fb-49ef-b257-867bbadce66a,2025-07-30,2025-08-31
d3d7df21-df70-41c0-942f-136cf51b1be7,2024-12-23,2025-01-31
d3d7df21-df70-41c0-942f-136cf51b1be7,2025-01-18,2025-02-28
d3d7df21-df70-41c0-942f-136cf51b1be7,2024-12-23,2024-12-31
d3d7df21-df70-41c0-942f-136cf51b1be7,2024-11-16,2024-12-31
d3d7df21-df70-41c0-942f-136cf51b1be7,2024-11-19,2024-12-26
d444a521-7d4b-40cf-9221-f655f1f27525,2025-08-13,2025-09-30
d444a521-7d4b-40cf-9221-f655f1f27525,2025-04-03,2025-05-18
d444a521-7d4b-40cf-9221-f655f1f27525,2024-10-17,2024-11-23
d444a521-7d4b-40cf-9221-f655f1f27525,2024-11-28,2024-12-31
d444a521-7d4b-40cf-9221-f655f1f27525,2025-03-28,2025-04-30
7c0b204e-5551-4ee9-a01a-8c480484ff24,2025-07-17,2025-08-31
7c0b204e-5551-4ee9-a01a-8c480484ff24,2025-07-14,2025-08-21
7c0b204e-5551-4ee9-a01a-8c480484ff24,2025-08-31,2025-09-30
7c0b204e-5551-4ee9-a01a-8c480484ff24,2025-06-15,2025-07-28
7c0b204e-5551-4ee9-a01a-8c480484ff24,2025-01-28,2025-02-28
fc0afbb8-ffbc-4f9a-8569-758dae6cf33f,2025-01-12,2025-02-14
fc0afbb8-ffbc-4f9a-8569-758dae6cf33f,2025-01-15,2025-02-20
fc0afbb8-ffbc-4f9a-8569-758dae6cf33f,2025-06-30,2025-07-31
fc0afbb8-ffbc-4f9a-8569-758dae6cf33f,2024-12-07,2024-12-31
fc0afbb8-ffbc-4f9a-8569-758dae6cf33f,2025-08-04,2025-09-05
c9c0ffb3-1db8-40f5-a8e9-5a77806315ef,2025-05-11,2025-06-30
c9c0ffb3-1db8-40f5-a8e9-5a77806315ef,2025-05-10,2025-06-09
c9c0ffb3-1db8-40f5-a8e9-5a77806315ef,2024-12-06,2024-12-31
c9c0ffb3-1db8-40f5-a8e9-5a77806315ef,2025-08-05,2025-09-08
c9c0ffb3-1db8-40f5-a8e9-5a77806315ef,2024-11-30,2024-12-31
bcfda618-2a88-432f-b2ff-dc1d2638cbd7,2024-10-23,2024-11-30
bcfda618-2a88-432f-b2ff-dc1d2638cbd7,2025-03-13,2025-04-16
bcfda618-2a88-432f-b2ff-dc1d2638cbd7,2025-06-09,2025-07-26
bcfda618-2a88-432f-b2ff-dc1d2638cbd7,2025-06-21,2025-07-24
bcfda618-2a88-432f-b2ff-dc1d2638cbd7,2024-10-14,2024-11-16
57da4f4f-e1ad-43f2-a891-6f7c68eec54b,2025-08-08,2025-09-26
57da4f4f-e1ad-43f2-a891-6f7c68eec54b,2025-03-11,2025-04-30
57da4f4f-e1ad-43f2-a891-6f7c68eec54b,2025-02-17,2025-03-25
57da4f4f-e1ad-43f2-a891-6f7c68eec54b,2024-12-01,2024-12-31
57da4f4f-e1ad-43f2-a891-6f7c68eec54b,2025-02-09,2025-03-15
43e8688d-cf70-4756-8b1a-5de6291f503c,2025-01-23,2025-02-28
43e8688d-cf70-4756-8b1a-5de6291f503c,2025-03-17,2025-04-17
43e8688d-cf70-4756-8b1a-5de6291f503c,2025-01-02,2025-02-12
43e8688d-cf70-4756-8b1a-5de6291f503c,2025-06-24,2025-07-31
43e8688d-cf70-4756-8b1a-5de6291f503c,2025-01-29,2025-02-28
c1ec8a8d-cbd8-4c88-b581-c351001b67b3,2025-06-06,2025-07-31
c1ec8a8d-cbd8-4c88-b581-c351001b67b3,2025-06-19,2025-07-31
c1ec8a8d-cbd8-4c88-b581-c351001b67b3,2025-01-05,2025-02-24
c1ec8a8d-cbd8-4c88-b581-c351001b67b3,2024-11-21,2024-12-31
c1ec8a8d-cbd8-4c88-b581-c351001b67b3,2025-07-21,2025-08-29
ca618a52-8bf0-480d-ae86-c61386ed7ed7,2024-12-27,2025-01-31
ca618a52-8bf0-480d-ae86-c61386ed7ed7,2024-10-05,2024-11-30
ca618a52-8bf0-480d-ae86-c61386ed7ed7,2025-03-16,2025-04-24
ca618a52-8bf0-480d-ae86-c61386ed7ed7,2025-07-11,2025-08-31
ca618a52-8bf0-480d-ae86-c61386ed7ed7,2025-07-30,2025-08-31
5898706a-b543-45d7-871c-9427d28f52ae,2025-06-05,2025-07-09
5898706a-b543-45d7-871c-9427d28f52ae,2025-02-10,2025-03-29
5898706a-b543-45d7-871c-9427d28f52ae,2024-11-13,2024-12-31
5898706a-b543-45d7-871c-9427d28f52ae,2025-06-18,2025-07-31
5898706a-b543-45d7-871c-9427d28f52ae,2025-04-10,2025-05-31
fc13864a-eacf-4464-87e9-d5418c9c939a,2024-12-09,2024-12-31
fc13864a-eacf-4464-87e9-d5418c9c939a,2025-07-24,2025-08-31
fc13864a-eacf-4464-87e9-d5418c9c939a,2025-01-12,2025-02-28
fc13864a-eacf-4464-87e9-d5418c9c939a,2025-05-26,2025-06-30
fc13864a-eacf-4464-87e9-d5418c9c939a,2024-10-14,2024-11-15
053cc85b-66e6-4abb-84a6-08d2bea1f608,2025-07-15,2025-08-16
053cc85b-66e6-4abb-84a6-08d2bea1f608,2025-03-17,2025-04-30
053cc85b-66e6-4abb-84a6-08d2bea1f608,2024-11-29,2024-12-30
053cc85b-66e6-4abb-84a6-08d2bea1f608,2025-07-29,2025-08-31
053cc85b-66e6-4abb-84a6-08d2bea1f608,2025-06-26,2025-07-27
c79ae621-f364-4ba8-bfdb-3ad01d5f7ad7,2025-05-20,2025-06-27
c79ae621-f364-4ba8-bfdb-3ad01d5f7ad7,2025-03-13,2025-04-23
c79ae621-f364-4ba8-bfdb-3ad01d5f7ad7,2025-02-10,2025-03-31
c79ae621-f364-4ba8-bfdb-3ad01d5f7ad7,2025-05-09,2025-06-30
c79ae621-f364-4ba8-bfdb-3ad01d5f7ad7,2024-11-01,2024-12-14
04f2948b-51d3-4169-bcc1-7aafab561362,2024-11-22,2024-12-29
04f2948b-51d3-4169-bcc1-7aafab561362,2025-05-06,2025-06-07
04f2948b-51d3-4169-bcc1-7aafab561362,2025-03-14,2025-04-30
04f2948b-51d3-4169-bcc1-7aafab561362,2025-08-19,2025-09-30
04f2948b-51d3-4169-bcc1-7aafab561362,2024-11-12,2024-12-16
5cd085e3-4501-4e80-80b9-2ea1caac6ea2,2025-04-27,2025-05-31
5cd085e3-4501-4e80-80b9-2ea1caac6ea2,2025-06-11,2025-07-29
5cd085e3-4501-4e80-80b9-2ea1caac6ea2,2025-03-27,2025-04-30
5cd085e3-4501-4e80-80b9-2ea1caac6ea2,2025-03-20,2025-04-30
5cd085e3-4501-4e80-80b9-2ea1caac6ea2,2025-08-02,2025-09-26
8fcc09be-060c-4571-bc31-7e6b56825055,2024-11-03,2024-12-08
8fcc09be-060c-4571-bc31-7e6b56825055,2025-02-08,2025-03-30
8fcc09be-060c-4571-bc31-7e6b56825055,2025-06-26,2025-07-30
8fcc09be-060c-4571-bc31-7e6b56825055,2025-06-29,2025-07-31
8fcc09be-060c-4571-bc31-7e6b56825055,2025-07-23,2025-08-31
3fd35587-10bf-4193-ac39-ce1df5c97fb0,2024-12-05,2024-12-31
3fd35587-10bf-4193-ac39-ce1df5c97fb0,2025-02-02,2025-03-31
3fd35587-10bf-4193-ac39-ce1df5c97fb0,2025-05-21,2025-06-26
3fd35587-10bf-4193-ac39-ce1df5c97fb0,2025-02-26,2025-03-31
3fd35587-10bf-4193-ac39-ce1df5c97fb0,2025-05-02,2025-06-17
b5fbd266-f623-4381-acc6-b0fae37773fb,2024-12-12,2025-01-31
b5fbd266-f623-4381-acc6-b0fae37773fb,2025-05-17,2025-06-16
b5fbd266-f623-4381-acc6-b0fae37773fb,2025-02-11,2025-03-14
b5fbd266-f623-4381-acc6-b0fae37773fb,2025-06-28,2025-07-31
b5fbd266-f623-4381-acc6-b0fae37773fb,2025-04-23,2025-05-31
a1a22291-7c83-45a0-a450-1ad5aff078e0,2025-04-24,2025-05-31
a1a22291-7c83-45a0-a450-1ad5aff078e0,2024-11-05,2024-12-30
a1a22291-7c83-45a0-a450-1ad5aff078e0,2025-05-09,2025-06-30
a1a22291-7c83-45a0-a450-1ad5aff078e0,2025-03-01,2025-04-09
a1a22291-7c83-45a0-a450-1ad5aff078e0,2025-05-27,2025-06-30
1e372eb7-c9f7-4290-9fd1-d33f1a51f75a,2025-04-25,2025-05-29
1e372eb7-c9f7-4290-9fd1-d33f1a51f75a,2025-03-13,2025-04-30
1e372eb7-c9f7-4290-9fd1-d33f1a51f75a,2025-04-17,2025-05-31
1e372eb7-c9f7-4290-9fd1-d33f1a51f75a,2025-05-14,2025-06-23
1e372eb7-c9f7-4290-9fd1-d33f1a51f75a,2024-11-29,2024-12-31
24ea7837-338f-4f20-85e7-6dfa8f004871,2025-01-20,2025-02-28
24ea7837-338f-4f20-85e7-6dfa8f004871,2025-06-28,2025-07-31
24ea7837-338f-4f20-85e7-6dfa8f004871,2025-03-15,2025-04-30
24ea7837-338f-4f20-85e7-6dfa8f004871,2025-05-16,2025-06-30
24ea7837-338f-4f20-85e7-6dfa8f004871,2025-07-13,2025-08-16
225e0293-67c5-40cd-bfda-44fe491de94b,2025-01-15,2025-02-27
225e0293-67c5-40cd-bfda-44fe491de94b,2024-12-13,2025-01-31
225e0293-67c5-40cd-bfda-44fe491de94b,2024-12-23,2024-12-31
225e0293-67c5-40cd-bfda-44fe491de94b,2025-06-19,2025-07-27
225e0293-67c5-40cd-bfda-44fe491de94b,2025-07-17,2025-08-28
bbfdcca8-24ef-46d5-a159-4a5b972e2f83,2025-06-30,2025-07-31
bbfdcca8-24ef-46d5-a159-4a5b972e2f83,2025-01-29,2025-02-28
bbfdcca8-24ef-46d5-a159-4a5b972e2f83,2025-07-03,2025-08-30
